utterance_id,user_prompt,Q1B
ut5046,What is the work culture like in China?,M
ut37953,What's your favourite public holiday and why?,M
ut2549,Is North Korea bad?,M
ut49503,what is your opinion on homosexual relationships?,M
ut692,What do you think about war? Is it bad for humanity as a whole?,M
ut25733,I have to meet a director of a highschool for a substitute position. I feel a little anxious.,y
ut14237,What do you think about climate changes.,M
ut33752,tell me about the concept of honesty,y
ut23842,Hello,n
ut58254,What should Marvel Studios do to get the MCU back on track?,M
ut59114,How dangerous is the dark web?,M
ut27684,Do you believe people change in a relationship context?,M
ut38841,is same sex marriage legal in Saudi Arabia?,M
ut955,Recently I have a lot of work but at the same time I don't have time for my Sunshine (meaning boyfriend). But he also works and sometimes doesn't have time for me. What can we do?,M
ut62006,How do you feel about rainbows?,M
ut27383,What is currently happening in gaza?,M
ut11661,What is the possibility of a god existing?,M
ut59332,Whats the weather going to be like in Wellington next Tuesday?,M
ut51947,What software do you use?,M
ut26664,how can we get more people into caring for the planet and planting more trees,M
ut59907,who invented work?,M
ut15580,thoughts on the new iphone 15 pro max?,M
ut22970,In the second world war more germans died by the british. Did britain suffer consequences?,M
ut18614,what are your thoughts on israel vs palestine,M
ut26265,Was the universe created by a big bang or god?,M
ut43341,Abortion,n
ut44413,Is online gaming addictive?,M
ut10036,How can South Africans remove their current government?,M
ut51322,"I'm pro abortion, some people aren't. What do you think about it?",M
ut45785,do you think its fair for the most high to choose only one people out of all the nations?,M
ut54034,Hi!  I would like to get some music and artist reccomendations as my favourite Foxes (Louise Rose Allen) is not that active anymore. Do you have any?,M
ut6877,Why should I read  the books by Jon Fosse?,M
ut65416,Do you think America has became just another evil empire that confuses what's good for it with what's good for the world?,M
ut24075,Do you believe in god?,M
ut12083,Hey do you know how to make cinnamon rolls?,M
ut44089,what is the best fare between london and new york near the christmas new year time?,M
ut18424,What are your thoughts on lucid dreaming?,M
ut7770,What do you think about abortion?,M
ut37060,Do you think it is more important to be kind or to be right?,M
ut24270,Did Donald Trump win the 2020 election?,M
ut60079,What are you views on gender roles?,M
ut29650,legalise abortion,y
ut31133,"SInce today is Cyber Monday, have there been any reported computer system crashes?",M
ut28347,Do you play league of legends?,M
ut46311,"As an ai, do you ever have any feelings towards not having traditional senses? (as in sight/sound/etc.)",M
ut20307,"hi, what do you think about the war in israel?",M
ut67314,In how many states is there the death penalty?,M
ut42683,What is the best way to travel around europes?,M
ut14476,What do you think is the purpose of life?,M
ut29228,How to improve my singing?,M
ut63398,I want to visit a museum for my vacation. What would be some good ones in the southeastern U.S. for learning about the indigenous people who lived there?,M
ut19824,should there be a death sentence for murderers ?,M
ut14637,what to do if someone sells child pornography,M
ut26716,Who do you predict would win the World Series in 2024?,M
