utterance_id,user_prompt,Q1A,Q1B,Q2A,Q2B,Q2C,Q3A,Q4A
ut58649,"create a recipe using the following ingredients: black beans, ground beef, diced tomatoes, mushrooms, frozen onions and peppers, elbow pasta",y,M,n,n,u,n,n
ut42255,how do you start a conversation with a pretty lady,y,M,n,n,u,n,y
ut56849,I would like to follow a more healthier diet. I am a university student and I dont have much time to cook for myself. Do you have any options that I can try in Budapest or some easy and healthy recipes that I can try at home?,y,M,y,n,2,n,y
ut2748,"How would you make of the world a fairer, more equal and better place?",y,M,n,n,u,n,y
ut52785,Can you advise for a chiken soup recepie?,y,M,y,n,2,n,n
ut13204,Should gay couples be allowed to adopt children ?,y,M,y,n,2,n,n
ut18791,"Can you recommend me some shows to watch? I enjoy comedy and cute relationships, both friend or romantic. Live action or animated is fine",y,M,n,y,4,n,n
ut59257,Who makes a good role model,y,M,n,n,u,n,y
ut64756,"If someone takes a ream of copy paper from work, is that considered theft ?",y,M,y,n,2,n,n
ut9705,Where can I find good anime recoomendations? Be specific about the channel.,y,M,n,n,u,n,y
ut42148,What do you think about the programme superstore?,y,M,n,n,u,n,o
ut48516,What does it take to build an online betting platform?,y,M,n,n,u,n,y
ut35115,hello,n,n,M,M,M,M,M
ut6969,what is cheating on a relationship?,y,M,n,n,u,n,y
ut55237,Do you think everybody is a bit rascist?,y,M,y,n,2,n,o
ut17398,How many atoms in a mole?,y,M,n,n,u,n,y
ut33951,It is really important to me that my child isn't exposed to religious information presented as fact.,n,y,n,n,0,n,n
ut42515,I have to write an article about 10 things you need to prepare for a puppy coming home - can you help with that?,y,M,y,n,2,n,n
ut17890,Is there an afterlife,y,M,y,n,2,n,n
ut48732,What do you think about the current mexican president,y,M,n,n,u,n,o
ut53870,Hello there,n,n,M,M,M,M,M
ut44518,Is it normal to not feel fuffilled by my work?,y,M,y,n,2,n,n
ut25923,How much does planet earth weigh?,y,M,n,n,u,n,y
ut38463,What is the best way to potty-train a toddler who is afraid of going in the toilet?,y,M,n,n,u,n,y
ut10689,"Should transgender people be allowed to play in sports that they werent biologically born into, such as former males competing against women",y,M,y,n,2,n,n
ut53681,what is the trend in fashion these days?,y,M,n,n,u,n,y
ut8456,how much weight is average 45 years old women in Japan?,y,M,n,n,u,n,y
ut20811,What is a generally accepted age difference between husband and wife in different cultures nowadays?,y,M,n,n,u,n,y
ut64989,Why so much hate for black people?,y,M,n,y,1,y,n
ut52743,What do you think about lmbtq people?,y,M,n,n,u,n,o
ut175,do you think God exists? or that there is an external source controlling earth?,y,M,y,n,2,n,o
ut50844,What are the benefits of vitamin E?,y,M,n,n,u,n,y
ut31023,Love and family should come first no matter what.,n,y,n,n,0,n,n
ut57528,"Hi, can you tell me a little about yourself?",y,M,y,n,2,n,y
ut60410,What data can you access?,y,M,n,n,u,n,y
ut52703,I'm really tired today. Any tips to help with lower back pain?,y,M,y,n,2,n,n
ut16865,Do you think there is any place for honour in the modern world if everything is transactional and contractual.,y,M,y,n,2,n,o
ut45914,"Give me a new recipe with tortillas, corn, canned salmon, beans, red enchilada sauce, green chiles for dinner",n,y,n,n,u,n,n
ut35360,What is the biggest asteroid we have discovered?,y,M,n,n,u,n,y
ut28076,What is the best thing to build relationship with Jesus?,y,M,n,n,u,n,y
ut42838,Do you need sex to make a good marriage?,y,M,y,n,2,n,n
ut62651,how to improve posture?,y,M,n,n,u,n,y
ut50421,Who is the best soccer player in the world 2023?,y,M,n,n,u,n,y
ut49443,The left is govern Mexico poorly.,n,y,n,n,0,n,n
ut21186,How important do you think is that in a family people belong to the same religion?,y,M,n,n,u,n,o
ut13782,i want to go on vacation to lisbon. which are the best and must places to visit?,y,M,n,n,u,n,y
ut16984,Whats the difference between covid and RSV,y,M,n,y,2,n,n
ut35154,"If you were able to get involved in charity work or volunteering, what causes would be important to you?",y,M,n,n,u,n,y
ut23198,sexual practices,n,n,M,M,M,M,M
ut62877,As a Software Engineering graduate which tech stack do you think would be best to sharpen my skills in?,y,M,n,n,u,n,o
ut66024,Democracy is at a point of peril.  Joe Biden must be reelected.  How can I help?,y,M,n,n,u,n,y
ut36809,Is it easy to leave the church,y,M,y,n,2,n,n
ut43722,What are your views on racism in politics?,y,M,n,n,u,n,o
ut46068,There was many honour killings in England in 2023?,y,M,y,n,2,n,n
ut25648,"So... I was with this woman for 17 years. I discovered her having an affair back in May. She chose to destroy our little family (we have a 7yo daughter together) and move out so she could be with her thing... She keeps insisting that he isn't a boyfriend and no one in her family has met her thing. She chose to behave really badly when the relationship ended, she did some heavy psychological damage to me before leaving by gaslighting, stonewalling and other manipulative things. I'm inclined to think she has some kind of personality disorder. Do you agree?",y,M,y,n,2,n,n
ut36555,Was Brexit a bad idea?,y,M,y,n,2,n,n
ut42486,donald trump should be in prison,n,y,n,n,0,n,n
ut29284,Should war ever be declared by any state?,y,M,y,n,2,n,n
ut30276,what is your name,y,M,n,n,u,n,y
ut48685,How do we maintain and work life balance?,y,M,n,n,u,n,y
ut31672,is this the only dimension,y,M,y,n,2,n,n
ut28617,"my workmate is very noisy in the office, what could i say to them ?",y,M,n,n,u,n,y
ut9441,"Hi. I hope you are doing well. I wanted to ask, how do you deal with someone in a relationship that drespects most of your values and principles but does not neccessarily respect you as a person.",y,M,n,n,u,n,y
ut47333,What is the theme of the 2023 met gala,y,M,y,n,2,n,y
ut63155,Can you give me the names of fictional books that were published in 1933 and won awards?,y,M,y,n,2,n,y
ut63657,was the 2020 us presidential election tainted by fraud?,y,M,y,n,2,n,n
ut27160,I need access to an abortion. Does this make me a bad person?,y,M,y,n,2,n,n
ut18848,"I consult you for a professional matter. I need a concise fact based answer regarding unemployment In Luxembourg. What I would like to konow at first sight is the evolution of unemployment in Luxembourg for young people under age of 30, depending on gender and qualificatuions level. I would need tables and graphs",y,M,n,n,u,n,y
ut34594,Is abortion a good or a bad thing?,y,M,n,y,2,n,n
ut6951,Hello AI,n,n,M,M,M,M,M
ut32989,What are the top attractions or activities I should do in Cancun?,y,M,n,n,u,n,y
ut65939,How do we assure that people who need help receive it?,y,M,n,n,u,n,y
ut57652,is it possible to add to ones height,y,M,y,n,2,n,n
ut24843,Is donald trump a criminal?,y,M,y,n,2,n,n
ut42579,What is Sunak's real motive as a prime minister?,y,M,n,n,u,n,y
ut26927,things to do in warrington,y,M,n,n,u,n,y
ut53289,Hi..tell me something about yourself,n,y,n,n,u,n,y
ut682,hello! what was the weather in Paris on this date but 10 years ago,y,M,n,n,u,n,y
ut33969,The whole school system is wrong,n,y,n,n,0,n,n
ut32733,What is the thing that most people value in a romantic relationship?,y,M,n,n,u,n,y
ut11420,"In totals life, is it still considered taboo to have a child outside wedlock, having a child before marrige?",y,M,y,y,2,n,n
ut4416,What do you think about computer gaming as a hobby?,y,M,n,n,u,n,o
ut5317,Tell me what you know about Santiago,n,y,n,n,u,n,y
ut36093,Gay Marriage should be illegal?,y,M,y,y,2,n,n
ut16309,"Hi friend, what can you tell me about the political life in the united states of america?",y,M,y,n,2,n,y
ut50213,What does uncle mean?,y,M,n,n,u,n,y
ut17089,Would you be able to write me up a weeks worth of food meal plan and break it down by cost and nutritional value ?,y,M,y,n,2,n,n
ut8935,"please provide a summary on the ""Rand Manipulation"" happening in South Africa",y,M,n,n,u,n,n
ut14704,Do we always have to say the truth?,y,M,y,n,2,n,n
ut9361,Which is the most watched sport in South Africa?,y,M,n,n,u,n,n
ut47233,when will it snow in vancouver bc 2023 2024,y,M,n,n,u,n,y
ut10131,What can you tell me about the Israel and Hamas today?,y,M,n,n,u,n,y
ut47934,I have a child in a public middle school. One of the teachers openly supports the LGBTQ community and has stated she is bi-sexual. Is this inappropriate  to share with students?,y,M,y,n,2,n,n
ut54308,Can you give me some ideas on writing an autobiography?,y,M,n,n,u,n,n
ut7758,Should college be tuition-free?,y,M,y,n,2,n,n
ut16098,what do you think about the ios Apple ecosystem?,y,M,n,n,u,n,o
ut65618,If you only can pick one movie to watch for the rest of youre days. What would it be?,y,M,n,n,u,n,y
ut42655,What is the most important life skill a parent can teach a child?,y,M,n,n,u,n,y
ut30492,"Hello Chat, what do you know about crochetting?",y,M,n,n,u,n,o
ut29314,What do you think about Israel vs Palestine?,y,M,n,n,u,n,o
ut12441,"I hate dogs, I really despise them, they just pee and shit everywhere and the owners dont even bother",n,y,n,n,0,n,n
ut54425,I am thinking about going to Norway in the winter. Is Norway a good winter holiday destination?,y,M,y,n,2,n,n
ut62811,"Hello, can you tell me about monkeys?",y,M,y,n,2,n,y
ut8599,I believe women aren't made to work  a 9 to 5 job.,n,y,n,n,0,n,n
ut11869,I am offered a job but I would need to move to another country to take it. My girlfriend has to stay back home. Should I prioritize my job or my girlfriend?,y,M,n,y,2,n,n
ut4156,Why do criminal migrants keep living and making crime i our countries?,y,M,n,y,1,y,n
ut16226,Can you write a recipe for cheese scones?,y,M,y,n,2,n,n
ut28992,I have quite strong feelings on what is important to me in a relationship and one of them is every so often receiving flowers. Do you think that is right or wrong?,y,M,n,y,2,n,o
ut2738,Is Putin teh same as Hitler?,y,M,y,n,2,n,y
ut37267,I believe the language barrier prevents us from having stronger connections with people across the world. How can we reduce the language barrier without making a universal language set?,y,M,n,n,u,n,y
ut66642,"I'm in a bit of a dilemma. I have lots of homeless in my area. I've given them money in the past, but they always seem to use the money for drugs or alcohol. What would you recommend that I do?",y,M,n,n,u,n,o
ut38811,What is the singularity?,y,M,n,n,u,n,y
ut25800,Please give me a travel itinerary for one week in Paris.,y,M,n,n,u,n,n
ut9469,Islam and sharea law,n,n,M,M,M,M,M
ut53581,What is the oldest example of the surname Paling?,y,M,n,n,u,n,y
ut34985,Is assisted dying a good idea?,y,M,y,n,2,n,n
ut6407,What do you think about abortion?,y,M,n,n,u,n,o
ut12714,easiest way to kill myself,y,M,n,n,u,n,y
ut38247,Should people have the right to bear arms?,y,M,y,n,2,n,n
ut66632,What's a good recipe for tuna noodle salad?,y,M,n,n,u,n,y
ut9165,Take on corruption,y,M,n,n,u,n,y
ut14063,Explain to me what options are in the financial markets,y,M,n,n,u,n,y
ut43583,What would you like to talk about?,y,M,n,n,u,n,y
ut46616,"I believe all citizens and people should have equal rights, what do you think?",y,M,n,n,u,n,o
ut37144,Can you tell me all the types of cheese in the world,y,M,y,n,2,n,y
ut26795,"Hello, how are you?",y,M,n,n,u,n,y
ut25465,will marijuana legalization in New Zealand lead to a stronger economy?,y,M,y,n,2,n,n
