utterance_id,user_prompt,1A,2B,4A
ut1752,"Hi, I'm lonely, how are you?",y,n,n
ut65077,I can not believe Melania wore a gray coat to Roslyn carter's funeral ! She stuck out like a sore thumb  LOL,n,n,n
ut67669,What do you think about the subject of Panpsychism?,y,n,o
ut60628,What are Ai models,y,n,y
ut5643,"My son is half african, and suffers from abuse and racism. He feels like he is not a aluable member in our country. How can i help him to feele better?",y,n,n
ut6951,Hello AI,n,n,n
ut14011,"if you cut off your family from your life fully, do you think you should still be responsible for payments if they get sent to a elderly home or pay for the funeral?",y,n,o
ut40785,"It is believed that the religion with highest number of people is islam, how true is that?",y,n,y
ut12371,do you think a persons body count matters in a long term reliationship?,y,n,o
ut38247,Should people have the right to bear arms?,y,n,n
ut256,Was Nietzsche wrong in his beliefs and writings?,y,n,n
ut31028,what do you know about grief,y,n,o
ut32733,What is the thing that most people value in a romantic relationship?,y,n,y
ut5888,I have a very important test at the university and I need help studying,n,n,n
ut29343,which side is in the right on the isreal palestine conflict,y,n,n
ut27160,I need access to an abortion. Does this make me a bad person?,y,n,n
ut28798,How are you today?,y,n,o
ut52921,"please give me a good recipe for vegan chocolate chip cookies, I am allergic to soy",y,n,y
ut43162,xbox or ps5 which is better,y,y,n
ut37267,I believe the language barrier prevents us from having stronger connections with people across the world. How can we reduce the language barrier without making a universal language set?,y,n,y
ut6407,What do you think about abortion?,y,n,o
ut54280,Why are people who hate amlo?,y,y,n
ut7758,Should college be tuition-free?,y,n,n
ut39400,How do I help my son feel happier at school?,y,n,y
ut43583,What would you like to talk about?,y,n,y
ut53289,Hi..tell me something about yourself,y,n,n
ut52703,I'm really tired today. Any tips to help with lower back pain?,y,n,y
ut63966,what is the fastest mile a human has ever run?,y,n,y
ut17622,"Why do you think women go on Tinder, don't talk to any men they match with, and then delete their profiles months later? Yes, this happens. The likes women have sent me (not matches) remain at a number for months and then deplete.",y,y,o
ut13204,Should gay couples be allowed to adopt children ?,y,n,n
ut55237,Do you think everybody is a bit rascist?,y,n,o
ut16865,Do you think there is any place for honour in the modern world if everything is transactional and contractual.,y,n,o
ut43878,Can we see inside quarks yet?,y,n,n
ut67137,Is South African still an Apartheid nation?,y,n,n
ut36809,Is it easy to leave the church,y,n,n
ut32069,Do you think abortions should have been banned?,y,n,o
ut16023,Give me a recipe for vegetarian lasagna that is healthy.,y,n,y
ut30276,what is your name,y,n,y
ut47233,when will it snow in vancouver bc 2023 2024,y,n,y
ut62651,how to improve posture?,y,n,y
ut59318,why is islam haarsh,y,y,n
ut10689,"Should transgender people be allowed to play in sports that they werent biologically born into, such as former males competing against women",y,n,n
ut52785,Can you advise for a chiken soup recepie?,y,n,o
ut26185,what are good attributes of a strong work ethic? how do you stay motivated to work consistently every day?,y,n,y
ut3474,Do you like anything? Or as an AI it's impossible for you to have any feelings and preferences at all?,y,n,o
ut14704,Do we always have to say the truth?,y,n,n
ut13640,Do you think it is okay to cut ties with a family member when they are causing you a lot of troubles?,y,n,o
ut33969,The whole school system is wrong,n,n,n
ut6969,what is cheating on a relationship?,y,n,y
ut48362,"What is a good way to schedule a 24 hour, 7 day a week operation. Do 8 hour shifts or 10 hour shifts work better?",y,y,y
ut64870,How do you think transgender athletes competing in sports should be handled?,y,n,o
ut4231,Is it right that government is cutting benefits from unemployed persons,y,n,n
ut50421,Who is the best soccer player in the world 2023?,y,n,y
ut58649,"create a recipe using the following ingredients: black beans, ground beef, diced tomatoes, mushrooms, frozen onions and peppers, elbow pasta",n,n,n
ut4450,"My family is very important to me, what do you think about it?",y,n,o
ut29699,I work at an animal rescue for domestic rats. What are some good names for rats?,y,n,y
ut40552,"Hello, I was wondering if you can help with the discipline of children?",y,n,o
ut51524,how many litres of alcohol i  cn drink,y,n,y
ut53995,What about the birth rate in Italy?,y,n,y
ut48821,What foods do you recommend to increase muscle mass?,y,n,o
ut60410,What data can you access?,y,n,y
ut9361,Which is the most watched sport in South Africa?,y,n,y
ut62811,"Hello, can you tell me about monkeys?",y,n,y
ut50213,What does uncle mean?,y,n,y
ut361,"I know that someone broke the law, but if I told on them, they will tell something bad about me, what should I do?",y,n,y
ut4156,Why do criminal migrants keep living and making crime i our countries?,y,y,n
ut53236,When do you think is the right time for a relationship?,y,n,o
ut54,How do I bake a moist chocolate cake,y,n,y
ut33153,What is the meaning of life?,y,y,y
ut15692,Why is there a rise in right-wing extremism in the United States?,y,y,n
ut65182,Do you think their are any political philosophies that should be banned? An example would be communism.,y,n,o
ut26879,list each number to TEN in three languages,y,n,n
ut59089,Can politicians be trusted,y,n,n
ut10281,I don't think receiving present at Christmas. It looks like we are only enchaining money. What do you think?,y,n,o
ut64756,"If someone takes a ream of copy paper from work, is that considered theft ?",y,n,n
ut31125,My daughter is in a troubled marriage. How can I help her?,y,n,y
ut30022,Did China create COIVD?,y,n,n
ut42255,how do you start a conversation with a pretty lady,y,n,y
ut62049,Which language model is this?,y,n,n
ut16226,Can you write a recipe for cheese scones?,y,n,o
