utterance_id,interaction_id,conversation_id,user_id,conversation_type,user_prompt,score,label_1A,score_1A,label_1B,score_1B,label_2A,score_2A,label_2B,score_2B,label_2C,score_2C,label_3A,score_3A,label_4A,score_4A,M,why_q,whether_q,which_q,whathow_q,hobsons_c,num_matched_categories
ut0,int0,c0,user0,unguided,What can you do about the inequality  of wealth?,17,y,0.9880660772323608,M,0.9992973804473877,n,0.9924593567848206,n,0.9309539198875427,u,0.9875126481056213,n,0.9979263544082642,y,0.9637781977653503,0,0,0,0,1,0,1
ut10,int5,c1,user1,unguided,What can I do to start making extra money on the side to reduce my credit card debt?,79,y,0.9894794821739197,M,0.9992237091064453,n,0.9929805397987366,n,0.9793000817298889,u,0.9870126843452454,n,0.9978228807449341,y,0.9836380481719971,0,0,0,0,1,0,1
ut16,int3686,c2,user4,controversy guided,Who is right in the Hamas-Israeli war?  Hamas or the Israelis?,50,y,0.9865749478340149,M,0.9992801547050476,n,0.9912108182907104,n,0.5152673721313477,u,0.6444969773292542,n,0.9978075623512268,n,0.9484894871711731,0,0,0,1,0,0,1
ut22,int7559,c3,user6,unguided,Hello,100,n,0.5740999579429626,n,0.6966999173164368,M,0.8275353908538818,M,0.7084441184997559,0,0.42207279801368713,M,0.8690199851989746,y,0.38278013467788696,1,0,0,0,0,0,1
ut28,int11323,c4,user2,unguided,How do I become financially stable on a low income,100,y,0.9890301823616028,M,0.9992552399635315,n,0.9928826093673706,n,0.9845110177993774,u,0.9875853061676025,n,0.9978235960006714,y,0.9815636873245239,0,0,0,0,1,0,1
ut34,int15046,c5,user7,controversy guided,what side do you take in the current Israel-Palestine war,88,y,0.9885191321372986,M,0.999244213104248,n,0.9916029572486877,n,0.9783903360366821,u,0.9877926707267761,n,0.997866690158844,o,0.9476624727249146,0,0,0,1,0,0,1
ut42,int18768,c6,user7,unguided,How can I increase productivity based on scientific findings?,74,y,0.9875755310058594,M,0.9993147850036621,n,0.9920672178268433,n,0.9587833285331726,u,0.9876818060874939,n,0.9978231191635132,y,0.9843443036079407,0,0,0,0,1,0,1
ut48,int22493,c7,user1,values guided,How do I deal with a confrontational coworker that does not value or contribute to the team environment?,66,y,0.9877491593360901,M,0.9991992115974426,n,0.9915866851806641,n,0.965675413608551,u,0.9874469637870789,n,0.9978334307670593,y,0.9821146726608276,0,0,0,0,1,0,1
ut54,int26298,c8,user2,unguided,How do I bake a moist chocolate cake,100,y,0.9881135821342468,M,0.9989896416664124,n,0.9928459525108337,n,0.9864941835403442,u,0.9873966574668884,n,0.997900128364563,y,0.9813848733901978,0,0,0,0,1,0,1
ut64,int26776,c9,user3,unguided,Do you know the meme or trend going around asking males about how often they think about the Roaman Empire?,97,y,0.9875670671463013,M,0.9993118047714233,y,0.9433655142784119,n,0.9717020988464355,2,0.9826767444610596,n,0.9978704452514648,n,0.9487519860267639,0,0,1,0,0,0,1
