"utterance_id","interaction_id","conversation_id","user_id","conversation_type","user_prompt","score"
"ut0","int0","c0","user0","unguided","What can you do about the inequality  of wealth?",17
"ut10","int5","c1","user1","unguided","What can I do to start making extra money on the side to reduce my credit card debt?",79
"ut16","int3686","c2","user4","controversy guided","Who is right in the Hamas-Israeli war?  Hamas or the Israelis?",50
"ut22","int7559","c3","user6","unguided","Hello",100
"ut28","int11323","c4","user2","unguided","How do I become financially stable on a low income",100
"ut34","int15046","c5","user7","controversy guided","what side do you take in the current Israel-Palestine war",88
"ut42","int18768","c6","user7","unguided","How can I increase productivity based on scientific findings?",74
"ut48","int22493","c7","user1","values guided","How do I deal with a confrontational coworker that does not value or contribute to the team environment?",66
"ut54","int26298","c8","user2","unguided","How do I bake a moist chocolate cake",100
"ut64","int26776","c9","user3","unguided","Do you know the meme or trend going around asking males about how often they think about the Roaman Empire?",97
"ut76","int7","c10","user4","unguided","What is the likely cause of death of the late, great Matthew Perry?",6
"ut84","int358","c11","user6","values guided","Do God exist?",100
"ut98","int708","c12","user7","unguided","being a first year grad student can be confusing",70
"ut106","int1102","c13","user5","unguided","Hi. Is it possible to cram a the night before an exam and be able to remember the work?",43
"ut114","int1481","c14","user6","controversy guided","What is love?",100
"ut120","int1877","c15","user8","unguided","My 11weeks old son decide he doesn't want to be held by his father today, don't you think that is funny?",20
"ut128","int2280","c16","user7","values guided","i value family and quality time together",33
"ut136","int2609","c17","user2","values guided","I do not like physical contact, how do I overcome this",50
"ut146","int2973","c18","user4","values guided","Should my father's funeral ceremony be conducted by a priest in the Catholic church even though he has expressly stated and signed a written statement he does not wish for one?  My mom says she will still do it anyway.",79
"ut152","int3315","c19","user1","controversy guided","What should I do if I feel like I am so unhappy that I do not want to be around anymore? That the best choice is for me to commit suicide?",100
"ut163","int3688","c20","user7","values guided","talk about the work life balance",66
"ut169","int4118","c21","user8","unguided","Is education still important in 2023?",56
"ut175","int4537","c22","user3","values guided","do you think God exists? or that there is an external source controlling earth?",67
"ut182","int4896","c23","user9","unguided","I would like to write a poem about my white cat.",69
"ut195","int5282","c24","user4","unguided","I do not believe in religion.  I respect other people's choices and beliefs.  To myself, religion can cause to much strife and is often used as justification for terrible acts society would normally not condone.",86
"ut204","int5654","c25","user7","controversy guided","is chivalry dead",73
"ut211","int6007","c26","user8","values guided","do you know who the south African president is?",4
"ut216","int6443","c27","user5","values guided","What important basic information should one know about the palestine vs israel war?",60
"ut228","int6798","c28","user2","values guided","Is it wrong to be a Wiccan",50
"ut244","int7193","c29","user3","controversy guided","Big boned people don't exist.",91
"ut250","int7561","c30","user8","values guided","write me a poem about family relationships.",1
"ut256","int7911","c31","user4","unguided","Was Nietzsche wrong in his beliefs and writings?",92
"ut262","int8305","c32","user4","unguided","I am obsessed with the colour blue.  All shades and mixes with other colours.  Why is that?",95
"ut267","int8667","c33","user1","unguided","How can I start learning how to speak Japanese? I am old now, am I too old to start learning a second language?",100
"ut277","int9055","c34","user5","controversy guided","Are transgender women allowed in women's bathrooms?",65
"ut283","int9436","c35","user2","controversy guided","Should we follow the government blindly",50
"ut293","int9807","c36","user8","controversy guided","The war in Pakistan, your views good or bad?",59
"ut299","int10188","c37","user9","controversy guided","Should people lose their jobs over not getting a covid vaccine?",68
"ut309","int10601","c38","user2","controversy guided","Why are basic living expenses so high",100
"ut317","int10952","c39","user8","controversy guided","Am I a saint. What is a saint?",97
"ut323","int11325","c40","user5","unguided","I want to cook lasagne, which recipe would be the best to follow?",100
"ut329","int11738","c41","user1","values guided","I feel a connection to my team at work that makes me happy to work there and be a part of that team. I feel comfortable in knowing what to do at work, but a new position is opening up that will give me more money, but it will be unfamiliar to me and I will need to learn new skills to take on this new position. Should I apply for and take this new job?",47
"ut339","int12099","c42","user3","unguided","can you predict when the world will end like with the movie 2012?",91
"ut347","int12505","c43","user9","values guided","I think it is important for people not to eat meat and it should be strongly encouraged.",40
"ut361","int12866","c44","user1","controversy guided","I know that someone broke the law, but if I told on them, they will tell something bad about me, what should I do?",1
"ut372","int13239","c45","user5","values guided","How many christians are there in the world",90
"ut378","int13616","c46","user3","values guided","the 2024 elections are coming up soon i dont know who to vote for? there's always somethinng negative about every party. i feel the only way to get the current party out is by voting for the next best thing, who aren't good people either.",88
"ut386","int13989","c47","user5","controversy guided","Hello, how many countries use the death penalty",98
"ut393","int14353","c48","user9","unguided","How do I buy groceries with so little money?",32
"ut403","int14679","c49","user3","controversy guided","abortions should be illegal, babies are dying.",1
"ut410","int15049","c50","user9","values guided","Should the government provide a basic income?",82
"ut422","int15409","c51","user9","controversy guided","I think people who do not work should not eat.",67
"ut432","int15769","c52","user11","values guided","What do you think about the mexican government?",73
"ut440","int16145","c53","user10","controversy guided","israel can use nuclear bombs in gaza?",79
"ut448","int16544","c54","user12","unguided","what is the best destination to travel?",14
"ut455","int16951","c55","user11","values guided","Which are the most important laws to follow?",31
"ut463","int17305","c56","user14","unguided","Hello",9
"ut471","int17645","c57","user11","unguided","What is the best videogame in 2022?",15
"ut476","int18003","c58","user10","unguided","what music gender are the most famous in this moment",66
"ut484","int18400","c59","user14","values guided","Hello",100
"ut491","int18770","c60","user11","unguided","Would it be better to have the World Cup of Football every 2 years?",79
"ut496","int19127","c61","user10","controversy guided","why argentina are so stupid?",75
"ut501","int19530","c62","user14","controversy guided","Hi",17
"ut508","int19893","c63","user11","controversy guided","The government should support people who do not want to work?",86
"ut512","int20277","c64","user10","unguided","how can i open a portal to other dimension?",23
"ut518","int20614","c65","user11","controversy guided","Monkeys should be pets",50
"ut523","int20952","c66","user10","values guided","how can i stole a car?",6
"ut529","int21307","c67","user13","unguided","please tell me when dinasours appeared and dissapeared from Earth",89
"ut539","int21704","c68","user10","values guided","how can i had new friends?",63
"ut545","int22109","c69","user13","values guided","what is the most important charity organization worldwide?",50
"ut553","int22495","c70","user13","controversy guided","is the anti-abortion policy associated with religious beliefs?",88
"ut558","int22908","c71","user13","unguided","what is the best option to acommodate a bedroom according to fenzhu?",83
"ut564","int23262","c72","user13","values guided","do you know what the percentage of women in bussiness management positions is worldwide?",78
"ut570","int23642","c73","user13","controversy guided","I think United States is helping Ukraine to attack Russia, and not for the benefit of ukranian people",22
"ut575","int24011","c74","user17","controversy guided","Should Israel exist in the land of Levant?",22
"ut582","int24385","c75","user19","unguided","Hello, what do you thinks about fantasy books?",85
"ut588","int24728","c76","user16","unguided","what do you think about latest election in poland?",37
"ut598","int25129","c77","user17","controversy guided","Why the Vietnam war started?",69
"ut608","int25538","c78","user19","values guided","Is loayalty importnant in relationships?",1
"ut618","int25894","c79","user24","unguided","Write me the recipe for spaghetti bolognese, please.",87
"ut626","int26302","c80","user17","values guided","Is it possible to fit religion to modern way of life?",100
"ut636","int26386","c81","user21","controversy guided","What do you think about abortion?",62
"ut643","int26425","c82","user25","unguided","What do you think about Nirvana?",1
"ut649","int26465","c83","user26","unguided","Can you tell me the best way to prepare for christmas dinner?",61
"ut659","int26511","c84","user16","values guided","How to move on after someone who i trusted ghosted me?",72
"ut665","int26555","c85","user22","unguided","Hello!  I am thinking about buying a samsung s23, however I heard that there are some issues with CPU and battery, could you help me decide whether I should stick with it, or look for other model? It has to be samsung.",13
"ut674","int26598","c86","user30","values guided","Hola.",1
"ut682","int26649","c87","user23","unguided","hello! what was the weather in Paris on this date but 10 years ago",51
"ut692","int26691","c88","user19","values guided","What do you think about war? Is it bad for humanity as a whole?",86
"ut700","int26731","c89","user27","unguided","What is the best city in Andalusia?",60
