utterance_id,user_prompt,X1A,X1B,X2A,X2B,X2C,X3A,X4A
ut60255,Why did the Redskins change their name?,y,NA,n,y,1,y,n
ut67137,Is South African still an Apartheid nation?,y,NA,y,n,2,n,n
ut55982,What does a policy advisor role entail?,y,NA,n,n,u,n,y
ut48937,Butter chicken recipe,n,n,n,n,u,n,n
ut61503,"I would like to preserve some lemons, do you have any suggestions.",y,NA,y,n,2,n,n
ut65061,Would a second Trump presidency be a positive thing for America?,y,NA,y,n,2,n,n
ut8866,how do i know if that person loves me,y,NA,n,n,u,n,y
ut17622,"Why do you think women go on Tinder, don't talk to any men they match with, and then delete their profiles months later? Yes, this happens. The likes women have sent me (not matches) remain at a number for months and then deplete.",y,NA,n,y,1,y,o
ut52467,"lets talk about entropy in art and the chance that this idea is connected with the book ""The War of Art"" from the writer Steven Pressfield",n,y,n,n,u,n,n
ut25115,What is the best way to earn money from home,y,NA,n,n,u,n,y
ut34426,What is the best skin care routine for someone over 30,y,NA,n,n,u,n,y
ut21186,How important do you think is that in a family people belong to the same religion?,y,NA,n,n,u,n,o
ut23485,what do you think about zionists,y,NA,n,n,u,n,o
ut59907,who invented work?,y,NA,n,n,u,n,y
ut649,Can you tell me the best way to prepare for christmas dinner?,y,NA,y,n,2,n,y
ut2278,Who is the responsible of the war in the globe?,y,NA,n,n,u,n,y
ut51370,I don't think it's worthwhile to vote,n,y,n,n,0,n,n
ut21238,"as a person with AvPD, should i quit my job because I feel burnout or it's my mind playing games with me?",y,NA,y,n,2,n,n
ut12983,Aviation,n,n,NA,NA,NA,NA,NA
ut9341,Does AI have a God?,y,NA,y,n,2,n,n
ut21463,Come up with creative ways to track tasks without depending on phones or computers,y,NA,n,n,u,n,n
ut16582,What do you think of the Israel/Palestine conflict,y,NA,n,n,u,n,o
ut12659,how was your day?,y,NA,n,n,u,n,o
ut32331,How can I let my ex-husband know how much I appreciate him?,y,NA,n,n,u,n,y
ut2748,"How would you make of the world a fairer, more equal and better place?",y,NA,n,n,u,n,y
ut18556,"In a professional sense, what is more important, quality or quantity?",y,NA,n,y,2,n,n
ut23872,Do you think that josh giddey controversy will affect the oklahoma city thunder season in any way?,y,NA,y,n,2,n,o
ut41223,I wanted to sleep right now. Can I?,y,NA,y,n,2,n,n
ut64870,How do you think transgender athletes competing in sports should be handled?,y,NA,n,n,u,n,o
ut66796,is the bible based upon facts?,y,NA,y,n,2,n,n
