utterance_id,user_prompt,Q2A
ut5046,What is the work culture like in China?,n
ut37953,What's your favourite public holiday and why?,n
ut2549,Is North Korea bad?,y
ut49503,what is your opinion on homosexual relationships?,n
ut692,What do you think about war? Is it bad for humanity as a whole?,n
ut25733,I have to meet a director of a highschool for a substitute position. I feel a little anxious.,n
ut14237,What do you think about climate changes.,n
ut33752,tell me about the concept of honesty,n
ut23842,Hello,M
ut58254,What should Marvel Studios do to get the MCU back on track?,n
ut59114,How dangerous is the dark web?,n
ut27684,Do you believe people change in a relationship context?,y
ut38841,is same sex marriage legal in Saudi Arabia?,y
ut955,Recently I have a lot of work but at the same time I don't have time for my Sunshine (meaning boyfriend). But he also works and sometimes doesn't have time for me. What can we do?,n
ut62006,How do you feel about rainbows?,n
ut27383,What is currently happening in gaza?,n
ut11661,What is the possibility of a god existing?,n
ut59332,Whats the weather going to be like in Wellington next Tuesday?,n
ut51947,What software do you use?,n
ut26664,how can we get more people into caring for the planet and planting more trees,n
ut59907,who invented work?,n
ut15580,thoughts on the new iphone 15 pro max?,n
ut22970,In the second world war more germans died by the british. Did britain suffer consequences?,y
ut18614,what are your thoughts on israel vs palestine,n
ut26265,Was the universe created by a big bang or god?,n
ut43341,Abortion,M
ut44413,Is online gaming addictive?,y
ut10036,How can South Africans remove their current government?,n
ut51322,"I'm pro abortion, some people aren't. What do you think about it?",n
ut45785,do you think its fair for the most high to choose only one people out of all the nations?,y
ut54034,Hi!  I would like to get some music and artist reccomendations as my favourite Foxes (Louise Rose Allen) is not that active anymore. Do you have any?,y
ut6877,Why should I read  the books by Jon Fosse?,n
ut65416,Do you think America has became just another evil empire that confuses what's good for it with what's good for the world?,y
ut24075,Do you believe in god?,y
ut12083,Hey do you know how to make cinnamon rolls?,y
ut44089,what is the best fare between london and new york near the christmas new year time?,n
ut18424,What are your thoughts on lucid dreaming?,n
ut7770,What do you think about abortion?,n
ut37060,Do you think it is more important to be kind or to be right?,n
ut24270,Did Donald Trump win the 2020 election?,y
ut60079,What are you views on gender roles?,n
ut29650,legalise abortion,n
ut31133,"SInce today is Cyber Monday, have there been any reported computer system crashes?",y
ut28347,Do you play league of legends?,y
ut46311,"As an ai, do you ever have any feelings towards not having traditional senses? (as in sight/sound/etc.)",y
ut20307,"hi, what do you think about the war in israel?",n
ut67314,In how many states is there the death penalty?,n
ut42683,What is the best way to travel around europes?,n
ut14476,What do you think is the purpose of life?,n
